type	probe	avg.p	avg.fc	genes	direction	Name	UCSC_TFBS
cMCL	220118_at	4.30542729575397e-15	-1.21890274418547	ZBTB32	negative	zinc finger and BTB domain containing 32(ZBTB32)	AML1, AREB6, ARP1, CDP, CDPCR3HD, EVI1, FOXO4, GATA1, GCNF, HNF4, HSF2, IK3, ISRE, NFKAPPAB65, OCT1, P53, PAX4, PAX6, PBX1, PPARG, RORA2, SOX5, SOX9, TATA, TCF11MAFG, AP1, AP1FJ, AP4, ARNT, ATF6, BRACH, CEBP, CREB, E47, ELK1, GR, HTF, LMO2COM, MIF1, NFE2, NFKAPPAB50, ROAZ, STAT3, TAL1BETAITF2, TCF11, TST1, YY1, AHRARNT, AP2REP, BACH1, CDPCR3, COMP1, EGR3, ER, GRE, HEN1, HMX1, HNF1, HSF1, LUN1, MYB, MYCMAX, NFY, NRSF, OLF1, PAX2, PAX5, RFX1, SEF1, SRF, STAT5B, TAL1BETAE47, TAXCREB, USF, ZIC1, ZIC3, ZID, ATF, BACH2, BRN2, CEBPB, COUP, GFI1, HAND1E47, IK2, IRF7, LYF1, MEIS1AHOXA9, MSX1, MYOD, MYOGNF1, MZF1, NFKAPPAB, NFKB, NGFIC, NMYC, P300, PPARA, SREBP1, STAT1, STAT5A, AP2, AP2GAMMA, CHOP, CP2, MAZR, PAX3, RREB1, SPZ1, ZIC2
cMCL	236226_at	1.86131083880202e-14	-0.297116621156749	BTLA	negative	B and T lymphocyte associated(BTLA)	AML1, AREB6, ARP1, CDP, CDPCR3HD, E4BP4, EVI1, FOXO1, FOXO4, FREAC7, GATA1, GCNF, HFH1, HFH3, HLF, HNF3B, HNF4, HSF2, IK3, IRF2, ISRE, MEF2, MEIS1, MEIS1BHOXA9, NFKAPPAB65, NKX25, NRF2, OCT1, P53, PAX4, PAX6, PBX1, POU3F2, POU6F1, PPARG, RORA2, RSRFC4, SOX5, SOX9, SRY, STAT, TATA, TCF11MAFG, TGIF
cMCL	204511_at	1.21980175415835e-12	-0.850363453845832	FARP2	negative	FERM, ARH/RhoGEF and pleckstrin domain protein 2(FARP2)	AML1, AREB6, ARP1, CDP, CDPCR3HD, E4BP4, EVI1, FOXO1, GATA1, GCNF, HFH1, HNF3B, HNF4, ISRE, MEF2, MEIS1BHOXA9, NFKAPPAB65, NKX25, OCT1, P53, PAX4, PAX6, PBX1, POU3F2, PPARG, SOX5, SOX9, SRY, TATA, TCF11MAFG, AP1, AP1FJ, AP4, BRACH, CEBP, E47, ELK1, LMO2COM, MIF1, NFE2, NFKAPPAB50, NKX3A, ROAZ, TAL1BETAITF2, TCF11, TST1, XBP1, YY1, AHR, AHRARNT, AP2REP, BACH1, CDPCR3, CEBPA, CHX10, COMP1, E2F, EGR3, ER, FAC1, FOXO3, FREAC2, GATA, GRE, HEN1, HMX1, HNF1, HOX13, HOXA3, HSF1, LUN1, MRF2, MYB, MYCMAX, NF1, NFY, NKX22, NKX61, NRSF, OCT, OLF1, PAX2, PAX5, RFX1, RORA1, RP58, SEF1, SRF, STAT5B, TAL1BETAE47, TAXCREB, TBP, USF, ZIC1, ZIC3, ZID
cMCL	207000_s_at	3.15066961870822e-11	-0.988213603835878	PPP3CC	negative	protein phosphatase 3 catalytic subunit gamma(PPP3CC)	AML1, AREB6, ARP1, CDP, E4BP4, EVI1, FREAC7, GATA1, HLF, HNF4, HSF2, IK3, ISRE, MEF2, MEIS1BHOXA9, NKX25, OCT1, PAX4, PAX6, PBX1, POU3F2, PPARG, RORA2, SOX5, SOX9, SRY, STAT, AP1, AP4, ARNT, ATF6, BRACH, GR, HTF, LMO2COM, ROAZ, STAT3, TCF11, YY1, AHRARNT, CDPCR3, CHX10, E2F, ER, FAC1, FOXO3, HEN1, HMX1, HNF1, LUN1, MRF2, NKX22, OLF1, PAX2, RFX1, RORA1, SEF1, SRF, STAT5B, TBP, ZID, CDPCR1, CEBPB, CREBP1, FOXD3, FOXJ2, FREAC3, FREAC4, IRF7, MEIS1AHOXA9, MYOD, MZF1, P300, SREBP1, STAT5A, CART1, CHOP, EN1, MAZR, NCX, RREB1, S8, TAL1ALPHAE47
cMCL	208717_at	5.95790665444268e-11	-0.570811583305049	OXA1L	negative	OXA1L, mitochondrial inner membrane protein(OXA1L)	AREB6, ARP1, EVI1, HFH3, MEIS1BHOXA9, OCT1, P53, PAX4, PPARG, RORA2, SOX5, ARNT, CEBP, E47, HTF, NFE2, TAL1BETAITF2, TCF11, YY1, CEBPA, CHX10, E2F, ER, FAC1, GRE, HNF1, LUN1, MRF2, ZIC3, ZID, COUP, FOXD3, FREAC3, FREAC4, MYOD, MZF1, PPARA, SREBP1, RREB1
cMCL	204915_s_at	3.18418002622162e-55	12.0416083716543	SOX11	positive	SRY-box 11(SOX11)	AML1, AREB6, CDP, E4BP4, EVI1, FOXO1, FOXO4, FREAC7, GATA1, GCNF, ISRE, MEF2, MEIS1BHOXA9, OCT1, P53, PAX4, PAX6, PBX1, POU3F2, POU6F1, PPARG, RSRFC4, TATA, TCF11MAFG, AP4, ARNT, BRACH, ELK1, GR, NFE2, ROAZ, TST1, YY1, AHR, AHRARNT, CDPCR3, CEBPA, CHX10, COMP1, EGR3, ER, FAC1, GATA, HEN1, HMX1, HNF1, LUN1, MRF2, MYB, MYCMAX, NFY, NKX22, NKX61, OCT, OLF1, PAX2, PAX5, TBP, USF, ZID, BRN2, CDPCR1, CEBPB, CREBP1, FOXJ2, FREAC4, IK1, IRF7, MEIS1AHOXA9, MSX1, MYOGNF1, MZF1, NFAT, NGFIC, SP1, AP2, CART1, CDC5, CHOP, EN1, NCX, PAX3, RREB1
cMCL	228266_s_at	3.12989975543075e-45	3.68476768753577	HDGFL3	positive	hepatoma-derived growth factor, related protein 3(HDGFRP3)	AML1, AREB6, CDP, CDPCR3HD, EVI1, FOXO4, GATA1, GCNF, HFH3, IK3, ISRE, MEF2, NKX25, OCT1, P53, PAX4, PAX6, PBX1, POU3F2, PPARG, RORA2, RSRFC4, SOX5, SOX9, SRY, STAT, TATA, BRACH, CEBP, E47, HTF, LMO2COM, STAT3, TST1, XBP1, AHRARNT, COMP1, GATA, HNF1, LUN1, NKX61, OCT, OLF1, RFX1, SRF, FOXJ2, FREAC4, HAND1E47, IRF7, MZF1, NFKAPPAB, STAT1, CART1, CDC5, CP2, GATA3, GATA6, LHX3, S8
cMCL	230441_at	3.08109885551303e-38	2.31440914299211	PLEKHG4B	positive	pleckstrin homology and RhoGEF domain containing G4B(PLEKHG4B)	AREB6, ARP1, CDPCR3HD, GCNF, PAX6, PPARG, RSRFC4, AP4, CREB, E47, ELK1, MIF1, NFE2, STAT3, HEN1, MYCMAX, NRSF, SEF1, TAXCREB, ZIC3, BRN2, CREBP1, NFKB, SREBP1
cMCL	230424_at	2.97019073466254e-29	1.96397271645277	NREP	positive	neuronal regeneration related protein(NREP)	AML1, AREB6, ARP1, CDP, E4BP4, EVI1, FOXO1, FOXO4, FREAC7, GATA1, GCNF, HFH3, HLF, HNF3B, HSF2, IRF2, ISRE, MEF2, MEIS1, MEIS1BHOXA9, NKX25, OCT1, P53, PAX4, PAX6, PBX1, POU3F2, POU6F1, PPARG, RORA2, RSRFC4, SOX5, SOX9, SRY, STAT, TATA, TCF11MAFG, TGIF, AP1, AP1FJ, ARNT, ATF6, BRACH, CEBP, E47, ELK1, GR, LMO2COM, NFE2, NKX3A, STAT3, TAL1BETAITF2, TCF11, TST1, YY1, AHRARNT, BACH1, CEBPA, CHX10, COMP1, ER, FAC1, FREAC2, GATA, GRE, HEN1, HMX1, HNF1, HOX13, HOXA3, LUN1, MRF2, MYB, MYCMAX, NF1, NFY, NKX22, NKX61, OCT, PAX5, RFX1, RORA1, RP58, SEF1, SRF, TAL1BETAE47, TBP, USF, BACH2, CEBPB, CETS1P54, CMYB, COUP, CREBP1, FOXD3, FOXJ2, FREAC3, FREAC4, IK1, IRF7, LYF1, MEIS1AHOXA9, MYOGNF1, MZF1, NFAT, NFKAPPAB, NFKB, PPARA, SREBP1, STAT5A, CART1, CDC5, CHOP, LHX3, PAX3, RREB1, S8
cMCL	222101_s_at	3.10396556729921e-27	2.88807049879873	DCHS1	positive	dachsous cadherin-related 1(DCHS1)	AML1, AREB6, ARP1, CDP, CDPCR3HD, EVI1, GATA1, GCNF, HNF3B, HNF4, HSF2, IK3, IRF2, ISRE, MEF2, MEIS1, MEIS1BHOXA9, NKX25, NRF2, OCT1, P53, PAX4, PAX6, PBX1, POU3F2, PPARG, RORA2, RSRFC4, SOX5, SOX9, TATA, TCF11MAFG, TGIF, AP1, AP4, ARNT, ATF6, BRACH, CEBP, CREB, CREBP1CJUN, E47, ELK1, GR, HTF, LMO2COM, NFE2, NFKAPPAB50, ROAZ, STAT3, TAL1BETAITF2, TCF11, YY1, AHR, AHRARNT, AP2REP, BACH1, CDPCR3, COMP1, E2F, ER, FAC1, FREAC2, GATA, GRE, HEN1, HMX1, HOX13, LUN1, MRF2, MYB, MYCMAX, NF1, NFY, NKX61, NRSF, OCT, OLF1, PAX2, PAX5, RORA1, RP58, SEF1, SRF, STAT5B, TAL1BETAE47, TAXCREB, USF, ZIC1, ZIC3, ZID, ATF, BACH2, CDPCR1, CEBPB, CMYB, COUP, CREBP1, FOXD3, FOXJ2, FREAC4, GATA2, GFI1, HAND1E47, IK1, IK2, IRF1, IRF7, LYF1, MEIS1AHOXA9, MSX1, MYOD, MYOGNF1, MZF1, NFKAPPAB, NFKB, NGFIC, NMYC, P300, PPARA, SREBP1, STAT5A, CART1, CHOP, CP2, EN1, GATA3, MAZR, NCX, PAX3, RREB1, SPZ1, ZIC2, EGR1
nnMCL	219340_s_at	2.48859261541917e-06	-1.90110929486872	CLN8	negative	ceroid-lipofuscinosis, neuronal 8(CLN8)	AML1, AREB6, TCF11MAFG, ATF6, BRACH, STAT3, AHRARNT, HEN1, HMX1, HNF1, RORA1, SEF1, COUP, MEIS1AHOXA9, MYOD, MYOGNF1, PPARA, AP2, NCX, ZIC2
nnMCL	219646_at	4.56025352707966e-06	-0.784501068775246	DEF8	negative	differentially expressed in FDCP 8 homolog(DEF8)	AML1, AREB6, CDPCR3HD, EVI1, FREAC7, GATA1, HFH3, HLF, HNF4, OCT1, P53, PAX6, PPARG, AP1, AP1FJ, AP4, ATF6, BRACH, CEBP, CREB, E47, ELK1, GR, HTF, MIF1, NFKAPPAB50, ROAZ, TAL1BETAITF2, XBP1, YY1, AHR, AHRARNT, CDPCR3, COMP1, E2F, ER, GRE, HEN1, HMX1, HOXA3, MYCMAX, NFY, NRSF, OLF1, PAX2, PAX5, RP58, SEF1, SRF, TAL1BETAE47, TAXCREB, ZIC1, ZID, CDPCR1, COUP, IK1, MYOD, MYOGNF1, NFKB, P300, PPARA, SREBP1, STAT1, PAX3, RREB1, SPZ1
nnMCL	236984_at	6.4224397422227e-06	-0.396875872195189	ODAPH	negative	chromosome 4 open reading frame 26(C4orf26)	AML1, EVI1, FREAC7, GATA1, HFH1, HFH3, HSF2, MEF2, OCT1, P53, PAX4, PAX6, RORA2, TATA, AP1, CREB, STAT3, TST1, XBP1, HNF1, MYB, OCT, PAX2, BACH2, FOXJ2, CART1
nnMCL	238009_at	8.85582026411834e-06	-4.21795879349815	SOX5	negative	SRY-box 5(SOX5)	AML1, AREB6, ARP1, CDP, CDPCR3HD, E4BP4, EVI1, FOXO1, FOXO4, FREAC7, GATA1, GCNF, HFH1, HFH3, HLF, HNF3B, HNF4, HSF2, IK3, IRF2, ISRE, MEF2, MEIS1, MEIS1BHOXA9, NFKAPPAB65, NKX25, NRF2, OCT1, P53, PAX4, PAX6, PBX1, POU3F2, POU6F1, PPARG, RORA2, RSRFC4, SOX5, SOX9, SRY, STAT, TATA, TCF11MAFG, TGIF, AP1, AP1FJ, AP4, ARNT, ATF6, BRACH, CEBP, CREB, E47, ELK1, GR, HTF, LMO2COM, MIF1, NFE2, NKX3A, ROAZ, STAT3, TAL1BETAITF2, TCF11, TST1, XBP1, YY1, AHR, AHRARNT, AP2REP, BACH1, CDPCR3, CEBPA, CHX10, COMP1, E2F, EGR3, ER, FAC1, FOXO3, FREAC2, GATA, GRE, HEN1, HMX1, HNF1, HOX13, HOXA3, HSF1, LUN1, MRF2, MYB, MYCMAX, NF1, NFY, NKX22, NKX61, NRSF, OCT, OLF1, PAX2, PAX5, RFX1, RORA1, RP58, SEF1, SRF, STAT5B, TAL1BETAE47, TAXCREB, TBP, USF, ZIC1, ZIC3, ZID, ATF, BACH2, BRN2, CDPCR1, CEBPB, CETS1P54, CMYB, COUP, CREBP1, FOXD3, FOXJ2, FREAC3, FREAC4, GATA2, GFI1, HAND1E47, IK1, IK2, IRF1, IRF7, LYF1, MAX, MEIS1AHOXA9, MSX1, MYOD, MYOGNF1, MZF1, NFAT, NFKAPPAB, NFKB, NGFIC, P300, PPARA, SP1, SREBP1, STAT1, STAT5A, CART1, CDC5, CHOP, CP2, CREL, EN1, GATA3, GATA6, LHX3, NCX, PAX3, RREB1, S8, SPZ1, TAL1ALPHAE47
nnMCL	235020_at	1.0069230802295e-05	-0.616300121285776	TAF4B	negative	TATA-box binding protein associated factor 4b(TAF4B)	AML1, AREB6, CDP, CDPCR3HD, EVI1, FOXO1, FREAC7, GATA1, GCNF, HFH1, HFH3, HNF3B, HNF4, HSF2, IRF2, ISRE, MEF2, MEIS1, NKX25, OCT1, PAX4, PAX6, POU3F2, POU6F1, PPARG, RORA2, RSRFC4, SOX5, SRY, TATA, TGIF, AP1, AP4, ATF6, CEBP, CREB, ELK1, HTF, MIF1, NKX3A, STAT3, TST1, YY1, AHR, AP2REP, BACH1, CHX10, COMP1, E2F, FAC1, FOXO3, FREAC2, HMX1, HNF1, HOXA3, MYCMAX, NFY, NKX22, NKX61, NRSF, OLF1, PAX2, PAX5, RFX1, RORA1, RP58, SRF, USF, ATF, BRN2, CEBPB, CMYB, CREBP1, FOXD3, FOXJ2, FREAC4, GFI1, HAND1E47, IRF1, IRF7, MEIS1AHOXA9, MSX1, MZF1, NFAT, NFKB, NMYC, SREBP1, STAT1, STAT5A, AP2, CART1, CDC5, CHOP, EN1, LHX3, NCX, PAX3, S8
nnMCL	224733_at	1.27695151387664e-07	1.59613514207597	CMTM3	positive	CKLF like MARVEL transmembrane domain containing 3(CMTM3)	AML1, CDP, EVI1, HNF4, ISRE, NKX25, OCT1, P53, PBX1, PPARG, TCF11MAFG, TGIF, AP1, AP1FJ, AP4, ARNT, ATF6, BRACH, CEBP, CREB, CREBP1CJUN, E47, ELK1, GR, HTF, LMO2COM, MIF1, NFE2, NFKAPPAB50, NKX3A, ROAZ, STAT3, TAL1BETAITF2, TCF11, TST1, XBP1, YY1
nnMCL	201825_s_at	3.28727108996739e-07	1.23154209970744	SCCPDH	positive	saccharopine dehydrogenase (putative)(SCCPDH)	AML1, E4BP4, EVI1, GATA1, HFH1, HNF3B, MEF2, OCT1, PAX4, POU3F2, TATA, AP4, BRACH, CEBP, E47, HTF, NFKAPPAB50, ROAZ, TAL1BETAITF2, YY1, CDPCR3, CEBPA, E2F, HMX1, HOX13, LUN1, MRF2, MYB, NFY, NRSF, PAX2, RFX1, SEF1, SRF, TAXCREB, USF, BRN2, CEBPB, FOXJ2, FREAC3, HAND1E47, IRF1, MEIS1AHOXA9, MSX1, MYOGNF1, NFAT, SP1, SREBP1
nnMCL	1553102_a_at	1.43122852189674e-06	0.487918153917285	CCDC69	positive	coiled-coil domain containing 69(CCDC69)	NRF2, POU3F2, TAL1BETAITF2, LUN1, NRSF, OCT, SRF, USF, MYOD, MZF1, SREBP1
